Case #,Crime,Occurred (Averaged),Location
20-01073,Civil: Civil Information Report,2020-03-20 07:21,Cesar Chavez Center; Cesar Chavez Center
20-01074,5150: WI; 72 Hour Mental Health Hold,2020-06-11 10:57,670 Kula Gulf Wy; Uva-159
20-01075,484: PC; Petty Theft,2020-06-04 21:04,300 Gooding Wy
20-01076,OABPD: Outside Assist - BPD,2020-06-11 19:50,Ucpd; Ucpd (Rev. 09/04/18)
20-01077,5150: WI; 72 Hour Mental Health Hold,2020-06-12 06:41,2539 Telegraph Av #601
20-01078,BITE: Animal Bite Report,2020-06-12 07:35,Leconte Hall; Leconte Hall
20-01079,Caslty: Injury/Illness,2020-06-12 14:41,Stanley Hall; Stanley Hall
20-01080,5150: WI; 72 Hour Mental Health Hold,2020-06-12 20:39,Ucpd; Ucpd (Rev. 09/04/18)
20-01083,REPO: Repossessed Vehicle,2020-06-15 04:12,1040 Jackson St
20-01084,487 (D): PC; Grand Theft:auto,2020-06-15 08:11,1000 6TH STREET
20-01085,594: PC; Malicious Mischief/Vandalism,2020-06-15 15:45,Mulford Hall; Mulford Hall
20-01086,594 (A): PC; Vandalism [under $1000],2020-06-15 11:17,Central HEATING PLANT PARKING LOT
20-01087,10-42: Welfare Check,2020-06-15 20:20,2441 Haste St #309; Sequoia Apts (Rev. 09/04/18)
20-01088,244: PC; Assault With Caustic Chemical/Etc 245: PC; Assault W/Deadly Weapon,2020-06-16 03:17,Peoples Park; Peoples Park
20-01089,MISC: Miscellaneous Report,2020-06-16 12:38,Gpb Garage; Gpb Garage
20-01090,Caslty: Injury/Illness,2020-06-16 14:10,Evans Hall; Evans Hall
20-01091,484 (A): PC; Petty Theft,2020-06-16 15:29,2650 Durant Av; Unit-1
20-01093,OABPD: Outside Assist - BPD Lost Prop.: Lost Property,2020-06-16 21:52,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01094,484 (A): PC; Petty Theft,2020-06-17 08:14,Mlk; Mlk
20-01095,Lost Prop.: Lost Property,2020-03-14 21:00,Latimer Hall; Latimer Hall
20-01097,314: PC; Indecent Exposure,2020-06-17 16:38,Valley Life Science Bldg; VLSB
20-01098,594: PC; Malicious Mischief/Vandalism 240: PC; Assault,2020-06-17 18:23,6th Street & Red Oak Avenue
20-01099,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended) 484: PC; Petty Theft,2020-06-17 23:21,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01100,484: PC; Petty Theft,2020-06-18 04:45,Peoples Park; Peoples Park
20-01101,466: PC; Possess/Etc Burglary Tools 11377 (A): HS; Possess Controlled Substance 11364: HS; Possess Controlled Substance Paraphernalia,2020-06-18 05:30,2511 Piedmont Av
20-01102,TC-Non Injury: Traffic Collision Non Injury,2020-06-18 10:42,Lbnl -69
20-01103,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-06-18 06:30,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01104,Caslty: Injury/Illness,2020-06-18 12:30,1111 Franklin St; UCOP (Rev. 09/04/18)
20-01106,Rec-Stolen: Recovered Stolen Vehicle,2020-06-19 03:08,1815 Highland Place
20-01108,Found Prop.: Found Property,2020-06-19 10:52,Center St EAST OF Oxford St
20-01109,459: PC; Burglary: Second Degree,2020-06-18 12:25,Manville Apts Lot; Manville Apts Lot
20-01110,594: PC; Malicious Mischief/Vandalism,2020-06-19 13:29,College Av
20-01112,14601.1(A): VC; Driving While Lic Suspended/Revoked 21453 (A): VC; Fail Stop Limit Line/Cross Walk At Red Signal/Stop Sign,2020-06-19 14:55,Bancroft Wy E Dana St
20-01113,MISC: Miscellaneous Report,2020-06-10 14:49,Ucpd; Ucpd
20-01114,594: PC; Malicious Mischief/Vandalism,2020-06-19 16:00,Mulford Hall; Mulford Hall (Rev. 09/04/18)
20-01115,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-06-20 15:23,1005 6th Street (Rev. 09/04/18)
20-01116,PRODAM: Property Damage,2020-06-21 01:57,Dwinelle Hall; Dwinelle Hall
20-01117,594: PC; Malicious Mischief/Vandalism,2020-06-21 09:38,Stephens Hall; Stephens Hall
20-01118,242: PC; Battery,2020-06-21 13:03,Lower Sproul Pz; Lower Sproul Pz
20-01119,242: PC; Battery,2020-06-21 17:42,Peoples Park; Peoples Park
20-01120,Found Prop.: Found Property,2020-06-21 20:24,Fire Trails
20-01121,INFO: Information Only Report,2020-06-21 20:02,Strawberry Creek Bridge; Strawberry Creek Bridge
20-01122,INFO: Information Only Report,2020-06-21 23:39,Golden Bear CAFE (Rev. 09/04/18)
20-01123,Caslty: Injury/Illness,2020-06-22 00:12,Peoples Park; Peoples Park
20-01124,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-06-22 05:49,Doe Library; Doe Library
20-01127,459V-F: PC; Burglary Vehicle,2020-06-22 09:46,1125 Jackson St
20-01128,10852: VC; Tamper With Vehicle,2020-06-22 13:06,2601 Warring St; Ckc
20-01129,594 (A): PC; Vandalism [under $1000] SUPP: Supplemental Reports,2020-06-22 01:04,Amazon Store; Amazon Store
20-01131,594 (A): PC; Vandalism [under $1000],2020-06-22 21:23,North Gate; North Gate (Rev. 09/04/18)
20-01132,594: PC; Malicious Mischief/Vandalism,2020-06-22 22:56,2400 Durant Av; Unit-3
20-01133,484: PC; Theft,2020-06-23 12:52,Memorial Glade; Memorial Glade
20-01134,594 (A)(1): PC; Vandalism: Deface Property,2020-06-23 13:07,70 Rincon Rd; Blake Estate
20-01135,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 242: PC; Battery,2020-06-23 19:41,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01136,148.4: PC; False Fire Alarm,2020-06-24 02:44,2200 Bancroft Wy
20-01137,484: PC; Petty Theft,2020-06-21 00:00,I House; I House
20-01139,RULES: Rules Violation,2020-06-19 22:14,Max Martinez #MC281; Max Martinez
20-01140,INFO: Information Only Report,2020-06-24 21:01,Peoples Park; Peoples Park (Rev. 09/04/18)
20-01141,"OUT WRTM: Other Agency Warrant, Misd",2020-06-25 00:33,Minor Hall; Minor Hall
20-01142,OA Assist: Outside Agency Assist 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Rec-Stolen: Recovered Stolen Vehicle,2020-06-25 07:24,Claremont Av
20-01143,Caslty: Injury/Illness,2020-06-25 07:32,Morrison Hall; Morrison Hall
20-01144,664/459V: PC; Attempt: Vehicle Burglary,2020-06-25 09:28,1000 6th Street #303
20-01146,626: Exclusion Order Issued,2020-06-25 17:27,980 Ohlone Av; Uva-117
20-01147,Lost Prop.: Lost Property INFO: Information Only Report,2020-06-24 14:15,2000 Carleton St (Rev. 09/04/18)
20-01148,594: PC; Malicious Mischief/Vandalism,2020-06-25 13:11,Richmond Field Station
20-01149,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-06-25 21:36,2650 Haste St; Unit-2 Loading Dock
20-01151,594 (A)(2): PC; Vandalism: Damage Property,2020-06-25 04:30,Edwards Track; Edwards Track
20-01152,422.6 (A): PC; Violate Civil Rights By Force Or Threat of Force 403: PC; Disturbance/Etc At Assembly/Etc,2020-06-21 14:00,INTERNET
20-01153,INFO: Information Only Report 597: PC; Cruelty to Animal,2020-06-26 20:26,Eshleman Hall; Eshleman Hall (Rev. 09/04/18)
20-01154,459: PC; Burglary: First Degree,2020-06-27 09:00,Upper Hearst Structure; Upper Hearst Structure
20-01155,Caslty: Injury/Illness,2020-06-27 21:03,Peoples Park; Peoples Park
20-01156,594: PC; Malicious Mischief/Vandalism,2020-06-27 19:49,Lower Sproul Pz; Lower Sproul Pz
20-01157,594 (A): PC; Vandalism [under $1000],2020-06-27 23:00,2650 Durant Av; Unit-1 Cheney (Rev. 09/04/18)
20-01159,245 (A): PC; Assault With A Deadly Weapon 273 A(B): PC; Willful Cruelty to Child Other Than Gbi/Death,2020-06-28 09:59,755 Ohlone Av #764
20-01160,10-42: Welfare Check,2020-06-28 18:18,2424 Haste St #34E (Rev. 09/04/18)
20-01161,459: PC; Burglary: Second Degree,2020-06-29 00:31,Underhill Lot #Spot 943; Underhill Lot
20-01162,Lost Prop.: Lost Property,2018-09-01 08:00,Soda Hall; Soda Hall
20-01163,Caslty: Injury/Illness,2020-06-29 09:31,580 Ohlone Av #107
20-01164,Lost Prop.: Lost Property,2020-06-14 23:00,2507 83rd Ave (Rev. 09/04/18)
20-01166,664/10851: PC; Attempt to Operate Vehicle W/O Owner's Consent (Amended) 459V-F: PC; Burglary Vehicle,2020-06-30 11:12,RED OAK & RED OAK
20-01167,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-06-30 12:07,Claremont Av & ALVARDO
20-01168,MISC: Miscellaneous Report,2020-06-26 18:00,Grinnell Path; Grinnell Path
20-01169,484: PC; Theft,2020-06-30 13:15,Upper Sproul Pz; Upper Sproul Pz
20-01170,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-06-28 04:47,2650 Durant Av; Unit-1
20-01171,452: PC; Unlawfully Causing Fire,2020-06-30 22:08,Signpost-16; Signpost-16 (Rev. 09/04/18)
20-00492,484: PC; Theft,2020-03-01 08:16,2415 Bowditch St; Crossroads
20-00494,242: PC; Battery 5150: WI; 72 Hour Mental Health Hold,2020-03-01 15:39,IFO Pacific Film Archives
20-00495,Caslty: Injury/Illness,2020-03-01 16:30,Hearst Gym
20-00496,Found Prop.: Found Property,2020-03-01 18:13,Barrows Ln &
20-00497,484 (A): PC; Theft,2020-03-01 18:03,2400 Durant Av; Unit-3 Dining
20-00498,653 X(A): PC; Annoying/Etc Calls to 911,2020-03-01 20:47,2201 Bancroft Wy
20-00499,484: PC; Theft 484 G: PC; Theft By Use of Access Card Information,2020-03-01 20:46,Foothill Complex #3D23D; Foothill Complex
20-00500,INFO: Information Only Report,2020-03-01 22:09,2650 Durant Av; Unit-1 Slottman (Rev. 09/04/18)
20-00501,602 (M): PC; Trespass:drive On Private Property (Amended),2020-03-02 00:13,Asuc Garage
20-00502,10-42: Welfare Check,2020-03-02 02:09,2650 Durant Av #106; Unit-1 Deutsch
20-00504,484: PC; Petty Theft,2020-03-02 12:07,2436 Durant Av
20-00506,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-03-02 16:04,Dwinelle Hall
20-00507,10-42: Welfare Check,2020-03-02 16:58,2510 Bancroft Wy #225
20-00508,MISC: Miscellaneous Report,2020-03-02 20:48,2650 Haste St
20-00509,653 M: PC; Make Annoying Telephone Calls,2020-03-02 22:06,755 Ohlone Av
20-00510,484 (A): PC; Theft,2020-03-02 18:47,Valley Life Science Bldg (Rev. 09/04/18)
20-00512,532 (A): PC; Obtain Money/Etc By False Pretenses [over $400],2020-03-03 00:28,Stern Hall #405; Stern Hall
20-00513,Lost Prop.: Lost Property,2020-03-03 09:22,Gilman Hall
20-00514,484 G: PC; Theft By Use of Access Card Information,2020-03-03 09:22,1608 4th St
20-00515,Lost Prop.: Lost Property,2020-03-03 11:24,2301 Bancroft Wy
20-00516,Lost Prop.: Lost Property,2020-03-03 13:43,Soda Hall
20-00517,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-03-03 14:52,Tolman Hall
20-00518,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-03 11:48,Moffitt Library
20-00519,261: PC; Rape:not Specified,2020-03-03 15:56,2222 Bancroft Wy; Tang Center
20-00521,10-42: Welfare Check,2020-03-03 16:52,2222 Bancroft Wy; Tang Center
20-00522,PRODAM: Property Damage,2020-03-03 18:44,1125 Jackson St
20-00523,484 (A): PC; Theft,2020-03-03 20:15,Wurster Hall #105; Wurster Hall (Rev. 09/04/18)
20-00524,Caslty: Injury/Illness,2020-03-04 07:50,2650 Durant Av; Unit-1 Deutsch
20-00525,374 (A): PC; Littering:waste Matter,2020-03-04 05:58,2415 Bowditch St
20-00526,Lost Prop.: Lost Property,2020-01-29 12:00,Stanley Hall; Stanley Hall
20-00527,484 (A): PC; Petty Theft,2020-03-04 10:45,Dwinelle Hall; Dwinelle Hall
20-00528,243.4 (E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc SUPP: Supplemental Reports,2020-03-04 12:28,Golden Bear Restaurant
20-00529,484 (A): PC; Petty Theft,2020-03-04 14:15,Stanley Hall #105; Stanley Hall
20-00531,Lost Prop.: Lost Property,2020-02-25 12:00,2220 Piedmont Av
20-00532,626: Exclusion Order Issued,2020-03-04 16:36,Sproul Hall; Sproul Hall
20-00533,5150: WI; 72 Hour Mental Health Hold,2020-03-04 17:12,2222 Bancroft Wy; Tang Center
20-00534,TC-Non Injury: Traffic Collision Non Injury,2020-03-04 18:18,West Crescent
20-00536,484: PC; Petty Theft,2020-03-04 19:30,1005 6TH #102 (Rev. 09/04/18)
20-00537,602 (O)(1): PC; Trespass:refuse to Leave Property:peace Officer Request 626: Exclusion Order Issued,2020-03-05 01:04,Lower Sproul Garage
20-00538,DEMO: Demonstration,2020-03-05 08:42,Upper Sproul Pz
20-00539,594 (B)(1): PC; Vandalism ($400 Or More),2020-03-05 03:00,West Cr & University Dr
20-00541,664/484: PC; Attempted Petty Theft,2020-02-29 16:30,540 Red Oak #205
20-00543,Lost Prop.: Lost Property,2020-03-02 12:00,Boalt Hall; Boalt Hall
20-00544,Caslty: Injury/Illness,2020-03-05 18:12,2424 Channing Wy
20-00546,Caslty: Injury/Illness,2020-03-05 18:41,Max Martinez
20-00547,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-03-05 20:28,Ellsworth Parking Structure; Ellsworth Parking Structure
20-00548,626.6: PC; Nonstudent Refuse to Leave Campus (Amended),2020-03-05 23:02,Asuc Garage
20-00549,Caslty: Injury/Illness,2020-03-05 23:42,2650 Durant Av; Unit-1 Deutsch (Rev. 09/04/18)
20-00550,Caslty: Injury/Illness,2020-03-06 02:10,2650 Durant Av #307
20-00551,OABPD: Outside Assist - BPD,2020-03-06 04:55,2520 Channing Way
20-00552,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-06 07:46,Red Oak Av & Red Oak Av
20-00553,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-03-05 17:16,Life Science Addition
20-00554,Caslty: Injury/Illness,2020-03-06 15:00,Evans Hall
20-00556,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-06 17:35,2301 Bancroft Wy; RSF
20-00557,Caslty: Injury/Illness,2020-03-06 21:48,Dwinelle Hall; Dwinelle Hall
20-00558,OA Assist: Outside Agency Assist,2020-03-06 23:32,4115 Telegraph Av (Rev. 09/04/18)
20-00559,626: Exclusion Order Issued,2020-03-07 00:41,Gpb Garage; Gpb Garage
20-00560,,2020-03-07 05:29,
20-00561,594: PC; Malicious Mischief/Vandalism,2020-03-07 10:30,Peoples Park
20-00563,459V-F: PC; Burglary Vehicle,2020-03-07 17:03,Bowles Lot
20-00565,Caslty: Injury/Illness,2020-03-07 19:20,2400 Durant Av #NORTON 102
20-00566,10852: VC; Tamper With Vehicle 148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended) 647 (H): PC; Disorderly Conduct:lodge W/O Consent (Amended),2020-03-07 16:00,Underhill Lot (Rev. 09/04/18)
20-00568,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-03-08 04:22,Lower Sproul Pz; Lower Sproul Pz
20-00569,11364: HS; Possess Controlled Substance Paraphernalia 466: PC; Possess/Etc Burglary Tools 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-03-08 09:18,2415 Bowditch St
20-00570,Caslty: Injury/Illness,2020-03-08 14:02,2400 Durant Av #108
20-00571,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-08 14:16,Haas Pavilion #GATE 7
20-00575,Civil: Civil Information Report,2020-03-08 18:05,Mlk; Mlk
20-00576,594: PC; Malicious Mischief/Vandalism,2020-03-08 16:49,1301 S. 46th Street
20-00577,415: PC; Disturb The Peace 240: PC; Assault,2020-03-08 19:04,2415 Bowditch St
20-00578,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-08 17:25,Wurster Hall (Rev. 09/04/18)
20-00580,Caslty: Injury/Illness,2020-03-09 00:24,2400 Durant Av; Unit-3 Ida Sproul
20-00581,Caslty: Injury/Illness,2020-03-09 06:38,NORTH SIDE OF Durant Hall
20-00582,626.6 (A): PC; Nonstudent Refuse to Leave Campus,2020-03-09 09:47,Asuc
20-00584,Civil: Civil Information Report,2020-03-09 10:40,2601 Warring St #B7
20-00585,484: PC; Theft,2020-03-09 10:08,2301 Bancroft Wy
20-00586,Lost Prop.: Lost Property,2020-03-09 11:04,2220 Piedmont Av
20-00587,484 (A): PC; Petty Theft,2020-03-09 18:53,2301 Bancroft Wy; Rec Sprt Fac
20-00589,10-42: Welfare Check,2020-03-09 19:34,Foothill Complex #1A16C; Foothill Complex
20-00590,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Rec-Stolen: Recovered Stolen Vehicle,2020-03-09 18:19,Haas Pavilion; Haas Pavilion
20-00591,Caslty: Injury/Illness,2020-03-09 20:53,Dwinelle Hall #215; Dwinelle Hall (Rev. 09/04/18)
20-00592,Caslty: Injury/Illness,2020-03-10 09:42,Valley Life Science Bldg; Valley Life Science Bldg
20-00593,484 G(A): PC; Theft By Forged/Invalid Access Card,2020-03-10 10:40,Haviland Hall
20-00594,OABPD: Outside Assist - BPD,2020-03-10 10:59,2821 Hillegass #7
20-00595,484: PC; Theft,2020-03-08 21:45,Moffitt Library; Moffitt Library
20-00596,Caslty: Injury/Illness,2020-03-10 16:50,East Asian Library
20-00597,Caslty: Injury/Illness,2020-03-10 20:32,Evans Field; Evans Field
20-00598,Caslty: Injury/Illness,2020-03-10 22:43,2650 Durant Av; Unit-1 Cheney
20-00599,Caslty: Injury/Illness,2020-03-10 23:32,2301 Bancroft Wy (Rev. 09/04/18)
20-00545,OA Assist: Outside Agency Assist 22653 (B): VC; Abandon Vehicle Involved In Accident,2020-03-05 15:49,Grizzly Peak Bl
20-00600,452: PC; Unlawfully Causing Fire,2020-03-10 23:15,Valley Life Science Bldg; Valley Life Science Bldg
20-00602,Caslty: Injury/Illness,2020-03-11 10:27,Ucpd
20-00603,5150: WI; 72 Hour Mental Health Hold,2020-03-11 11:32,Bowditch St & Haste St
20-00604,Caslty: Injury/Illness,2020-03-11 12:36,Ucpd
20-00605,484: PC; Petty Theft 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-03-11 13:25,Mlk; Mlk
20-00606,484 G: PC; Theft By Use of Access Card Information,2020-03-11 13:35,1608 4th Street #329-7
20-00607,"OUT WRTF: Other Agency Warrant, Fel",2020-03-11 14:33,Mlk; Mlk
20-00608,484: PC; Petty Theft,2020-03-11 03:45,585 Red Oak Avenue #100
20-00609,484 (A): PC; Theft,2020-03-11 14:50,Blum Center
20-00610,10851: Veh Theft,2020-03-11 16:01,Haas Pavilion
20-00611,Lost Prop.: Lost Property,2020-03-11 14:48,HWY 80 Via AC Transit Bus WEST (Rev. 09/04/18)
20-00612,Lost Prop.: Lost Property,2020-03-11 14:30,1016 Pomona Avenue
20-00613,Civil: Civil Information Report SUPP: Supplemental Reports,2020-03-11 16:00,580 Ohlone Av #301
20-00614,211: PC; Robbery:second Degree 626: Exclusion Order Issued,2020-03-11 17:35,West Crescent
20-00615,20002: VC; Hit and Run,2020-03-11 17:40,Kinkead Wy & RED OAK
20-00617,23152 (A): VC; Dui Alcohol 23152 (B): VC; Dui Alcohol/008 Percent,2020-03-11 23:42,2840 Claremont Av (Rev. 09/04/18)
20-00616,484: PC; Theft,2020-03-12 23:29,Mlk; Mlk
20-00618,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-03-12 00:51,Ellsworth Parking Structure
20-00619,14601.1(A): VC; Driving While Lic Suspended/Revoked,2020-03-12 08:39,Haste St W Bowditch St
20-00620,5150: WI; 72 Hour Mental Health Hold,2020-03-12 10:10,Ucpd
20-00621,417 (A)(2): PC; Exhibit Firearm 626.9 (B): PC; Have Firearm At Public/Etc School,2020-03-12 12:24,Wickson Bridge
20-00622,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-02-23 12:00,Unknown
20-00623,Lost Prop.: Lost Property,2015-08-01 13:23,Soda Hall; Soda Hall
20-00624,PRODAM: Property Damage,2020-03-12 14:29,Durant Av & Ellsworth St
20-00625,Civil: Civil Information Report,2020-03-12 15:03,2400 Bancroft Wy; Blackwell Hall
20-00626,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-03-12 15:10,2199 Addison St #141; University Hall
20-00628,647 (H): PC; Disorderly Conduct:lodge W/O Consent (Amended),2020-03-12 16:51,2301 Bancroft Wy; Rsf Garage
20-00629,5150: WI; 72 Hour Mental Health Hold,2020-03-12 21:37,2601 Warring St (Rev. 09/04/18)
20-00630,626.10 (B): PC; Possess Weapon/Etc On Campus:not Firearm 626: Exclusion Order Issued,2020-03-12 22:05,Mlk
20-00631,5150: WI; 72 Hour Mental Health Hold,2020-03-12 23:57,Memorial Glade (Rev. 09/04/18)
20-00632,OA Assist: Outside Agency Assist,2020-03-13 06:12,Red Oak Way SOUTH Libertyship Wy
20-00633,261: PC; Rape:not Specified,2020-03-13 09:30,Tang Center
20-00634,484 G: PC; Theft By Use of Access Card Information,2020-03-12 13:49,1608 4th St
20-00636,Lost Prop.: Lost Property,2020-03-11 13:59,Tan Hall
20-00637,484: PC; Theft,2020-03-13 16:06,Mlk; Mlk
20-00638,459V-F: PC; Burglary Vehicle,2020-03-13 17:34,Ellsworth Parking Structure
20-00639,415: PC; Disturb The Peace,2020-03-13 19:06,735 West End Wy
20-00640,484: PC; Theft,2020-03-13 20:30,Lower Sproul Pz
20-00641,242: PC; Battery,2020-03-13 22:37,Max Martinez (Rev. 09/04/18)
20-00642,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 591.5: PC; Damage/Destroy Any Wireless Communication Device,2020-03-14 01:25,1110 JACKSON ST #901
20-00643,594 (B)(1): PC; Vandalism ($10000 Or More),2020-03-14 03:57,Foothill-2 #2A40B
20-00644,PRODAM: Property Damage,2020-03-14 09:21,Foothill Complex; Foothill Complex
20-00645,"OUT WRTM: Other Agency Warrant, Misd",2020-03-14 12:58,Mlk
20-00646,MISC: Miscellaneous Report,2020-03-14 01:25,Uva; Uva
20-00647,594: PC; Malicious Mischief/Vandalism,2020-03-14 16:47,Evans Hall; Evans Hall
20-00648,5150: WI; 72 Hour Mental Health Hold,2020-03-14 16:14,Foothill Complex #6A40C; Foothill Complex
20-00649,484: PC; Theft,2020-03-14 19:35,Mlk; Mlk
20-00650,484: PC; Theft,2020-03-13 08:15,2650 Haste St
20-00651,22651(n): VC; Posted Tow Away Zone,2020-03-14 21:59,485 Ohlone Av #210
20-00652,626: Exclusion Order Issued,2020-03-14 23:08,2400 Durant Av (Rev. 09/04/18)
20-00653,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-03-15 12:45,MLK
20-00654,484 (A): PC; Petty Theft,2020-03-15 00:15,525 Red Oak Ave Space #761
20-00655,MISC: Miscellaneous Report,2020-03-15 15:13,2650 Haste St #103
20-00656,484: PC; Theft,2020-03-15 08:30,2650 Haste St #G14A
20-00657,MISC: Miscellaneous Report,2020-03-15 18:49,Mlk; Mlk
20-00658,Found Prop.: Found Property,2020-03-15 19:08,Mlk; Mlk
20-00659,594 (A): PC; Vandalism [under $1000],2020-02-29 10:04,2301 Bancroft Wy
20-00660,594 (A): PC; Vandalism [under $1000],2020-03-15 20:30,Doe Library
20-00661,594 (A): PC; Vandalism [under $1000],2020-03-15 20:35,Doe Library (Rev. 09/04/18)
20-00663,5150: WI; 72 Hour Mental Health Hold,2020-03-16 01:16,Sproul Hall
20-00664,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-03-16 08:37,Space Sciences Addition #129
20-00665,484: PC; Theft,2020-03-16 10:51,Moffitt Library #5
20-00666,Caslty: Injury/Illness,2020-03-16 10:02,I House
20-00667,484 (A): PC; Petty Theft,2020-03-16 15:22,2495 Bancroft Wy
20-00668,594 (A): PC; Vandalism [under $1000],2020-03-16 21:00,Pimentel Hall
20-00669,415: PC; Disturb The Peace,2020-03-16 21:12,735 West End Wy #204
20-00670,594 (A): PC; Vandalism [under $1000],2020-03-16 22:13,East Asian Library (Rev. 09/04/18)
20-00671,594: PC; Malicious Mischief/Vandalism,2020-03-17 02:26,Hearst Gym
20-00672,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc,2020-03-17 13:33,2537 Haste St
20-00674,MISC: Miscellaneous Report,2020-03-17 19:10,Moffitt Library; Moffitt Library
20-00675,11364 (1): HS; Possess Specified Controlled Substance Device/Etc,2020-03-17 23:48,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-00676,3056: PC; Violation Parole: Felony,2020-03-18 13:11,Bechtel Hall; Bechtel Hall
20-00677,Caslty: Injury/Illness,2020-03-18 16:52,585 RED OAK
20-00678,Caslty: Injury/Illness,2020-03-18 12:15,Underhill Lot
20-00679,647 (F): PC; Disorderly Conduct:intox Drug With Alcohol,2020-03-18 19:16,685 Libertyship Wy #303
20-00680,594: PC; Malicious Mischief/Vandalism,2020-03-10 10:16,Moses Hall (Rev. 09/04/18)
20-00681,23152 (A): VC; Dui Alcohol 23152 (B): VC; Dui Alcohol/008 Percent,2020-03-19 00:47,2227 Piedmont Av
20-00683,Civil: Civil Information Report,2020-03-19 09:16,Unknown
20-00684,Civil: Civil Information Report,2020-03-19 17:51,2650 Durant Av; Unit-1 (Rev. 09/04/18)
20-00685,Lost Prop.: Lost Property,2019-11-01 12:00,Memorial Stadium; Memorial Stadium
20-00687,484: PC; Theft,2020-03-19 19:00,Peoples Park
20-00688,Caslty: Injury/Illness,2020-03-20 13:24,2220 Piedmont Av; Haas Business School
20-00689,MISC: Miscellaneous Report,2020-03-20 14:17,1301 S. 46th Street
20-00690,Caslty: Injury/Illness,2020-03-20 17:06,Memorial Stadium
20-00691,314: PC; Indecent Exposure,2020-03-20 19:50,Eucalyptus Grove (Rev. 09/04/18)
20-00692,Caslty: Injury/Illness OABPD: Outside Assist - BPD,2020-03-21 18:11,Bancroft Wy WB Barrows Ln
20-00693,594: PC; Malicious Mischief/Vandalism,2020-03-21 21:13,2650 Haste St; Unit-2 Griffith (Rev. 09/04/18)
20-00696,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 422: PC; Threaten Crime W/Intent to Terrorize,2020-03-22 18:21,Lower Fire Tr; Lower Fire Tr (Rev. 09/04/18)
18-03022,SUPP: Supplemental Reports,,150 Walnut St
20-00697,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-03-22 22:30,525 RED OAK AVE #102
20-00698,Caslty: Injury/Illness,2020-03-23 02:12,1070 JACKSON #718
20-00699,5150: WI; 72 Hour Mental Health Hold,2020-03-23 07:36,"Octagon Bridge, UC Berkeley"
20-00700,20002 (A): VC; Hit and Run:property Damage,2020-03-23 02:00,Ellsworth Parking Structure (Rev. 09/04/18)
20-00701,5150: WI; 72 Hour Mental Health Hold,2020-03-24 10:35,2400 Bancroft Wy #672; Blackwell Hall
20-00702,530.5 (A): PC; Get Credit/Etc Other's Id,2020-02-03 00:00,530 Kinkead Wy #200
20-00703,11550: HS; Use/Under Influence Controlled Substance 11550 (A)(1): HS; Use/Under Influence of Controlled Substance (Amended) 5150: WI; 72 Hour Mental Health Hold,2020-03-24 18:26,2601 Warring St (Rev. 09/04/18)
